timestamp,co,h,no2,o3,p,"pm25 (Now Cast, not ug/m3)",t,w,wg
10/15/2025 15:00,1.8,50,2.8,36.8,1006.7,6,10.5556,1.5,6
10/15/2025 16:00,1.8,51,2.8,36.1,1006.9,8,10.5556,1.6,5.6
10/16/2025 14:00,1.2,69,4.7,31.2,1015.1,13,20.5556,1.6,0.5
10/16/2025 15:00,1.2,65,4.7,32,1015.2,18,18.3333,1.6,2
10/16/2025 18:00,2.8,58,8.4,28.9,1015.6,16,14.4444,1.6,1.7
10/16/2025 19:00,2.3,64,13,19.2,1016,22,17.7778,1.6,1.7
10/16/2025 21:00,1.4,69,8.4,19.2,1016.5,27,20.5556,1.6,1.7
10/16/2025 23:00,0.9,73,9.3,14.5,1016.3,21,22.7778,1.6,1.7
10/17/2025 0:00,1.2,74,6.5,16,1016.8,22,23.3333,1.6,1.7
10/17/2025 1:00,1.5,79,8.4,9.6,1017,23,26.1111,1.6,1.7
10/17/2025 2:00,1.5,82,11.2,6.4,1017,20,27.7778,1.6,1.7
10/17/2025 5:00,2.3,86,15.8,1.6,1016.5,25,4.91111,1.6,1.7
10/17/2025 6:00,2.5,88,17.6,0.8,1016.3,26,31.1111,1.6,1.7
10/17/2025 8:00,3.3,88,20.4,1.6,1018.3,44,26.1111,1.6,1.7
10/17/2025 11:00,0.4,60,16.7,24.1,1017.1,37,15.5556,1.6,3
10/17/2025 12:00,0.4,51,4.7,29.6,1016.7,23,10.5556,0.5,3.5
10/17/2025 13:00,0.4,48,6.5,30.4,1015.9,32,8.88889,0.5,4
10/17/2025 14:00,0.4,49,5.6,31.2,1014.8,59,9.44444,1.3,6
10/17/2025 16:00,0.4,44,3.8,34.4,1013.6,21,6.66667,1.6,5.3
10/17/2025 17:00,0.4,44,3.8,32.8,1014.3,16,14.2,0.3,4.6
10/17/2025 18:00,0.3,47,6.5,28.9,1014.2,16,13.4,0.3,4.6
