UTC time,Pollutant,Concentration
2024-11-22 21:00:00,PM2.5,5.4µg/m³
2024-11-22 21:00:00,PM10,55µg/m³
2024-11-22 21:00:00,O₃,51µg/m³
2024-11-22 21:00:00,NO₂,31.4µg/m³
2024-11-22 21:00:00,SO₂,1.3µg/m³
2024-11-22 21:00:00,CO,286.3µg/m³
2024-11-22 21:00:00,conc,
UTC time,Pollutant,Concentration
2024-11-22 22:00:00,PM2.5,6µg/m³
2024-11-22 22:00:00,PM10,41µg/m³
2024-11-22 22:00:00,O₃,48µg/m³
2024-11-22 22:00:00,NO₂,40.2µg/m³
2024-11-22 22:00:00,SO₂,1.6µg/m³
2024-11-22 22:00:00,CO,343.5µg/m³
2024-11-22 22:00:00,concen,
UTC time,Pollutant,Concentration
2024-11-22 23:00:00,PM2.5,7.7µg/m³
2024-11-22 23:00:00,PM10,49µg/m³
2024-11-22 23:00:00,O₃,48µg/m³
2024-11-22 23:00:00,NO₂,50.6µg/m³
2024-11-22 23:00:00,SO₂,2.6µg/m³
2024-11-22 23:00:00,CO,343.5µg/m³
2024-11-22 23:00:00,conc,
UTC time,Pollutant,Concentration
2024-11-23 01:00:00,PM2.5,9µg/m³
2024-11-23 01:00:00,PM10,45µg/m³
2024-11-23 01:00:00,O₃,31µg/m³
2024-11-23 01:00:00,NO₂,47.7µg/m³
2024-11-23 01:00:00,SO₂,1.3µg/m³
2024-11-23 01:00:00,CO,286.3µg/m³
2024-11-23 01:00:00,concen,
UTC time,Pollutant,Concentration
2024-11-23 02:00:00,PM2.5,8.6µg/m³
2024-11-23 02:00:00,PM10,46µg/m³
2024-11-23 02:00:00,O₃,25µg/m³
2024-11-23 02:00:00,NO₂,53.7µg/m³
2024-11-23 02:00:00,SO₂,1.2µg/m³
2024-11-23 02:00:00,CO,286.3µg/m³
2024-11-23 02:00:00,conc,
UTC time,Pollutant,Concentration
2024-11-23 03:00:00,PM2.5,7.9µg/m³
2024-11-23 03:00:00,PM10,46µg/m³
2024-11-23 03:00:00,O₃,22µg/m³
2024-11-23 03:00:00,NO₂,73.1µg/m³
2024-11-23 03:00:00,SO₂,2.6µg/m³
2024-11-23 03:00:00,CO,572.5µg/m³
2024-11-23 03:00:00,conc,
UTC time,Pollutant,Concentration
2024-11-23 04:00:00,PM2.5,7µg/m³
2024-11-23 04:00:00,PM10,72µg/m³
2024-11-23 04:00:00,O₃,6µg/m³
2024-11-23 04:00:00,NO₂,71.1µg/m³
2024-11-23 04:00:00,SO₂,3.4µg/m³
2024-11-23 04:00:00,CO,343.5µg/m³
2024-11-23 04:00:00,concent,
UTC time,Pollutant,Concentration
2024-11-23 05:00:00,PM2.5,5.5µg/m³
2024-11-23 05:00:00,PM10,67µg/m³
2024-11-23 05:00:00,O₃,17µg/m³
2024-11-23 05:00:00,NO₂,69.2µg/m³
2024-11-23 05:00:00,SO₂,3.9µg/m³
2024-11-23 05:00:00,CO,343.5µg/m³
2024-11-23 05:00:00,conc,
UTC time,Pollutant,Concentration
2024-11-23 06:00:00,PM2.5,5.4µg/m³
