Timestamp,PM2.5µg/m³,PM10µg/m³,O₃µg/m³,NO₂µg/m³,SO₂µg/m³,COµg/m³
2024-11-27 08:00:00,6.8,5.0,37.0,39.5,0.5,229.0
2024-11-27 09:00:00,6.9,7.0,44.0,33.4,0.3,114.5
2024-11-27 10:00:00,6.7,5.0,30.0,47.2,1.1,343.5
2024-11-27 11:00:00,6.7,5.0,30.0,38.9,1.3,229.0
2024-11-27 12:00:00,6.0,10.0,33.0,27.8,1.3,229.0
2024-11-27 13:00:00,4.7,9.0,36.0,17.7,1.1,229.0
2024-11-27 14:00:00,4.0,7.0,45.0,8.1,0.8,114.5
2024-11-27 15:00:00,4.0,5.0,49.0,6.0,0.8,114.5
2024-11-27 16:00:00,3.7,6.0,50.0,4.9,0.4,57.3
2024-11-27 18:00:00,4.7,4.0,49.0,16.3,0.1,114.5
2024-11-27 20:00:00,4.7,29.0,38.0,33.2,0.3,171.8
2024-11-27 20:00:00,4.7,23.0,36.0,31.4,0.4,171.8
2024-11-27 21:00:00,4.3,23.0,36.0,31.4,0.4,171.8
2024-11-27 22:00:00,4.5,21.0,34.0,34.8,0.4,229.0
2024-11-27 23:00:00,4.6,15.0,32.0,35.0,0.5,229.0
2024-11-28 00:00:00,4.7,13.0,32.0,24.4,0.5,229.0
2024-11-28 01:00:00,4.9,13.0,29.0,24.4,0.5,229.0
2024-11-28 02:00:00,4.8,13.0,32.0,24.4,0.5,229.0
